上海移动-组播1,#genre#
BRTV卡酷少儿,http://0.0.0.0:0/rtp/225.0.0.220:6140
CCTV-1 综合,http://0.0.0.0:0/rtp/225.0.0.100:6140
CCTV-1 综合,http://0.0.0.0:0/rtp/225.0.0.25:6140
CCTV-2 财经,http://0.0.0.0:0/rtp/225.0.0.190:6140
CCTV-2 财经,http://0.0.0.0:0/rtp/225.0.0.26:6140
CCTV-3 综艺,http://0.0.0.0:0/rtp/225.0.0.27:6140
CCTV-4 中文国际,http://0.0.0.0:0/rtp/225.0.0.191:6140
CCTV-4 中文国际,http://0.0.0.0:0/rtp/225.0.0.28:6140
CCTV-5 体育,http://0.0.0.0:0/rtp/225.0.0.29:6140
CCTV-6 电影,http://0.0.0.0:0/rtp/225.0.0.103:6140
CCTV-6 电影,http://0.0.0.0:0/rtp/225.0.0.30:6140
CCTV-7 国防军事,http://0.0.0.0:0/rtp/225.0.0.210:6140
CCTV-7 国防军事,http://0.0.0.0:0/rtp/225.0.0.31:6140
CCTV-8 电视剧,http://0.0.0.0:0/rtp/225.0.0.104:6140
CCTV-8 电视剧,http://0.0.0.0:0/rtp/225.0.0.32:6140
CCTV-9 纪录,http://0.0.0.0:0/rtp/225.0.0.211:6140
CCTV-9 纪录,http://0.0.0.0:0/rtp/225.0.0.216:6140
CCTV-10 科教,http://0.0.0.0:0/rtp/225.0.0.212:6140
CCTV-10 科教,http://0.0.0.0:0/rtp/225.0.0.34:6140
CCTV-11 戏曲,http://0.0.0.0:0/rtp/225.0.0.227:6140
CCTV-11 戏曲,http://0.0.0.0:0/rtp/225.0.0.35:6140
CCTV-12 社会与法,http://0.0.0.0:0/rtp/225.0.0.213:6140
CCTV-12 社会与法,http://0.0.0.0:0/rtp/225.0.0.36:6140
CCTV-13 新闻,http://0.0.0.0:0/rtp/225.0.0.228:6140
CCTV-13 新闻,http://0.0.0.0:0/rtp/225.0.0.37:6140
CCTV-14 少儿,http://0.0.0.0:0/rtp/225.0.0.214:6140
CCTV-14 少儿,http://0.0.0.0:0/rtp/225.0.0.38:6140
CCTV-15 音乐,http://0.0.0.0:0/rtp/225.0.0.229:6140
CCTV-15 音乐,http://0.0.0.0:0/rtp/225.0.0.39:6140
CCTV-16 奥林匹克,http://0.0.0.0:0/rtp/225.0.0.180:6140
CCTV-17 农业农村,http://0.0.0.0:0/rtp/225.0.0.215:6140
CCTV-17 农业农村,http://0.0.0.0:0/rtp/225.0.0.217:6140
CETV1,http://0.0.0.0:0/rtp/225.0.0.66:6140
CETV2,http://0.0.0.0:0/rtp/225.0.0.148:6140
CETV4,http://0.0.0.0:0/rtp/225.0.0.230:6140
CGTN,http://0.0.0.0:0/rtp/225.0.0.33:6140
七彩戏剧,http://0.0.0.0:0/rtp/225.0.0.225:6140
三沙卫视,http://0.0.0.0:0/rtp/225.0.0.85:6140
上海教育,http://0.0.0.0:0/rtp/225.0.0.14:6140
上海教育,http://0.0.0.0:0/rtp/225.0.0.222:6140
上海新闻综合,http://0.0.0.0:0/rtp/225.0.0.1:6140
上海都市,http://0.0.0.0:0/rtp/225.0.0.3:6140
东南卫视,http://0.0.0.0:0/rtp/225.0.0.120:6140
东南卫视,http://0.0.0.0:0/rtp/225.0.0.65:6140
东方卫视,http://0.0.0.0:0/rtp/225.0.0.2:6140
东方卫视,http://0.0.0.0:0/rtp/225.0.0.88:6140
东方影视,http://0.0.0.0:0/rtp/225.0.0.5:6140
东方影视,http://0.0.0.0:0/rtp/225.0.0.90:6140
东方财经,http://0.0.0.0:0/rtp/225.0.0.226:6140
东方购物1,http://0.0.0.0:0/rtp/225.0.0.11:6140
东方购物1,http://0.0.0.0:0/rtp/225.0.0.95:6140
东方购物2,http://0.0.0.0:0/rtp/225.0.0.12:6140
