云南电信-组播1,#genre#
CCTV4K,http://182.247.36.5:4080/rtp/239.200.200.202:8784
CCTV-16 奥林匹克,http://182.247.36.5:4080/rtp/239.200.200.194:8780
北京卫视4K,http://182.247.36.5:4080/rtp/239.200.201.209:9008
北京卫视4K,http://182.247.36.5:4080/rtp/239.200.200.227:9000
东方卫视4K,http://182.247.36.5:4080/rtp/239.200.201.222:9028
广东卫视4K,http://182.247.36.5:4080/rtp/239.200.201.213:9012
深圳卫视4K,http://182.247.36.5:4080/rtp/239.200.201.212:9008
湖南卫视4K,http://182.247.36.5:4080/rtp/239.200.201.219:9016
山东卫视4K,http://182.247.36.5:4080/rtp/239.200.201.223:9092
四川卫视4K,http://182.247.36.5:4080/rtp/239.200.201.224:9096
浙江卫视4K,http://182.247.36.5:4080/rtp/239.200.201.221:9024
江苏卫视4K,http://182.247.36.5:4080/rtp/239.200.201.220:9020
欢笑剧场,http://182.247.36.5:4080/rtp/239.200.200.216:8728
云南4K,http://182.247.36.5:4080/rtp/239.200.200.178:8884
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.201.135:8880
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.97:8108
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.201.210:8888
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.113:8512
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.89:8024
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.201.189:8148
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.130:8012
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.100:8084
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.70:8008
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.82:8004
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.201.177:8656
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.120:8401
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.201.208:8688
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.92:8028
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.88:8020
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.201.202:8760
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.212:8720
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.84:8016
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.201.146:8136
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.125:8654
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.119:8444
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.95:8044
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.93:8088
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.135:8076
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.86:8008
CCTV-1 综合,http://182.247.36.5:4080/rtp/239.200.200.169:8402
