云南联通-组播1,#genre#
云南都市,http://0.0.0.0:0/rtp/225.0.1.88:5000
云南少儿,http://0.0.0.0:0/rtp/225.0.1.92:5000
云南影视,http://0.0.0.0:0/rtp/225.0.1.80:5000
康旅频道,http://0.0.0.0:0/rtp/225.0.1.91:5000
湄澜国际,http://0.0.0.0:0/rtp/225.0.1.170:5000
云南移动,http://0.0.0.0:0/rtp/225.0.1.143:5000
云南娱乐,http://0.0.0.0:0/rtp/225.0.1.81:5000
昆明新闻综合,http://0.0.0.0:0/rtp/238.123.50.70:8500
昆明教育,http://0.0.0.0:0/rtp/238.123.50.72:8508
昆明春城,http://0.0.0.0:0/rtp/238.123.50.75:8520
昆明经济,http://0.0.0.0:0/rtp/238.123.50.71:8504
昆明影视,http://0.0.0.0:0/rtp/238.123.50.74:8516

云南联通-组播2,#genre#
云南都市,http://0.0.0.0:0/rtp/225.0.1.88:5000
云南少儿,http://0.0.0.0:0/rtp/225.0.1.92:5000
云南影视,http://0.0.0.0:0/rtp/225.0.1.80:5000
康旅频道,http://0.0.0.0:0/rtp/225.0.1.91:5000
湄澜国际,http://0.0.0.0:0/rtp/225.0.1.170:5000
云南移动,http://0.0.0.0:0/rtp/225.0.1.143:5000
云南娱乐,http://0.0.0.0:0/rtp/225.0.1.81:5000
昆明新闻综合,http://0.0.0.0:0/rtp/238.123.50.70:8500
昆明教育,http://0.0.0.0:0/rtp/238.123.50.72:8508
昆明春城,http://0.0.0.0:0/rtp/238.123.50.75:8520
昆明经济,http://0.0.0.0:0/rtp/238.123.50.71:8504
昆明影视,http://0.0.0.0:0/rtp/238.123.50.74:8516

云南联通-组播3,#genre#
云南都市,http://0.0.0.0:0/rtp/225.0.1.88:5000
云南少儿,http://0.0.0.0:0/rtp/225.0.1.92:5000
云南影视,http://0.0.0.0:0/rtp/225.0.1.80:5000
康旅频道,http://0.0.0.0:0/rtp/225.0.1.91:5000
湄澜国际,http://0.0.0.0:0/rtp/225.0.1.170:5000
云南移动,http://0.0.0.0:0/rtp/225.0.1.143:5000
云南娱乐,http://0.0.0.0:0/rtp/225.0.1.81:5000
昆明新闻综合,http://0.0.0.0:0/rtp/238.123.50.70:8500
昆明教育,http://0.0.0.0:0/rtp/238.123.50.72:8508
昆明春城,http://0.0.0.0:0/rtp/238.123.50.75:8520
昆明经济,http://0.0.0.0:0/rtp/238.123.50.71:8504
昆明影视,http://0.0.0.0:0/rtp/238.123.50.74:8516

