内蒙古电信-组播1,#genre#
BRTV卡酷少儿,http://123.179.62.20:4022/rtp/239.29.1.41:5001
BRTV纪实科教,http://123.179.62.20:4022/rtp/239.29.0.110:5000
CCTV-1 综合,http://123.179.62.20:4022/rtp/239.29.0.113:5000
CCTV-1 综合,http://123.179.62.20:4022/rtp/239.29.0.133:5000
CCTV-1 综合,http://123.179.62.20:4022/rtp/239.29.0.151:5000
CCTV-1 综合,http://123.179.62.20:4022/rtp/239.29.1.151:5000
CCTV-1 综合,http://123.179.62.20:4022/rtp/239.29.1.1:5001
CCTV-2 财经,http://123.179.62.20:4022/rtp/239.29.0.116:5000
CCTV-2 财经,http://123.179.62.20:4022/rtp/239.29.1.8:5001
CCTV-3 综艺,http://123.179.62.20:4022/rtp/239.29.0.45:5000
CCTV-3 综艺,http://123.179.62.20:4022/rtp/239.29.1.133:5000
CCTV-4 中文国际,http://123.179.62.20:4022/rtp/239.29.0.87:5000
CCTV-4 中文国际,http://123.179.62.20:4022/rtp/239.29.1.9:5001
CCTV-4 欧洲,http://123.179.62.20:4022/rtp/239.29.1.144:5000
CCTV-4 美洲,http://123.179.62.20:4022/rtp/239.29.1.142:5000
CCTV-5 体育,http://123.179.62.20:4022/rtp/239.29.0.43:5000
CCTV-5 体育,http://123.179.62.20:4022/rtp/239.29.1.134:5000
CCTV-5+ 体育赛事,http://123.179.62.20:4022/rtp/239.29.1.10:5001
CCTV-6 电影,http://123.179.62.20:4022/rtp/239.29.0.44:5000
CCTV-6 电影,http://123.179.62.20:4022/rtp/239.29.1.135:5000
CCTV-7 国防军事,http://123.179.62.20:4022/rtp/239.29.0.117:5000
CCTV-7 国防军事,http://123.179.62.20:4022/rtp/239.29.1.11:5001
CCTV-8 电视剧,http://123.179.62.20:4022/rtp/239.29.0.46:5000
CCTV-8 电视剧,http://123.179.62.20:4022/rtp/239.29.1.136:5000
CCTV-9 纪录,http://123.179.62.20:4022/rtp/239.29.0.118:5000
CCTV-9 纪录,http://123.179.62.20:4022/rtp/239.29.1.12:5001
CCTV-10 科教,http://123.179.62.20:4022/rtp/239.29.0.119:5000
CCTV-10 科教,http://123.179.62.20:4022/rtp/239.29.1.2:5001
CCTV-11 戏曲,http://123.179.62.20:4022/rtp/239.29.0.205:5000
CCTV-11 戏曲,http://123.179.62.20:4022/rtp/239.29.1.3:5001
CCTV-12 社会与法,http://123.179.62.20:4022/rtp/239.29.0.120:5000
CCTV-12 社会与法,http://123.179.62.20:4022/rtp/239.29.1.4:5001
CCTV-13 新闻,http://123.179.62.20:4022/rtp/239.29.1.123:5000
CCTV-13 新闻,http://123.179.62.20:4022/rtp/239.29.1.5:5001
CCTV-14 少儿,http://123.179.62.20:4022/rtp/239.29.0.121:5000
CCTV-14 少儿,http://123.179.62.20:4022/rtp/239.29.1.6:5001
CCTV-15 音乐,http://123.179.62.20:4022/rtp/239.29.0.206:5000
CCTV-15 音乐,http://123.179.62.20:4022/rtp/239.29.1.7:5001
CCTV-16 奥林匹克,http://123.179.62.20:4022/rtp/239.29.1.146:5000
CCTV-16 奥林匹克,http://123.179.62.20:4022/rtp/239.29.1.149:5000
CCTV-17 农业农村,http://123.179.62.20:4022/rtp/239.29.0.194:5000
CCTV-17 农业农村,http://123.179.62.20:4022/rtp/239.29.1.145:5000
CCTV4K,http://123.179.62.20:4022/rtp/239.29.1.164:5000
CETV1,http://123.179.62.20:4022/rtp/239.29.0.95:5000
CETV1,http://123.179.62.20:4022/rtp/239.29.1.161:5000
CETV1,http://123.179.62.20:4022/rtp/239.29.1.30:5001
CETV2,http://123.179.62.20:4022/rtp/239.29.0.139:5000
CETV4,http://123.179.62.20:4022/rtp/239.29.0.220:5000
CGTN,http://123.179.62.20:4022/rtp/239.29.1.13:5001
CGTN,http://123.179.62.20:4022/rtp/239.29.1.143:5000
CGTN俄语,http://123.179.62.20:4022/rtp/239.29.1.137:5000
CGTN法语,http://123.179.62.20:4022/rtp/239.29.1.139:5000
CGTN纪录,http://123.179.62.20:4022/rtp/239.29.1.140:5000
CGTN西语,http://123.179.62.20:4022/rtp/239.29.1.141:5000
CGTN阿语,http://123.179.62.20:4022/rtp/239.29.1.138:5000
CHC动作电影,http://123.179.62.20:4022/rtp/239.29.1.177:5000
CHC家庭影院,http://123.179.62.20:4022/rtp/239.29.1.176:5000
CHC影迷电影,http://123.179.62.20:4022/rtp/239.29.1.178:5000
ELTV,http://123.179.62.20:4022/rtp/239.29.1.113:5000
IPTV5,http://123.179.62.20:4022/rtp/239.29.1.10:5001
XHTV,http://123.179.62.20:4022/rtp/239.29.0.187:5000
北京卫视4K,http://123.179.62.20:4022/rtp/239.29.1.182:5000
四川卫视4K,http://123.179.62.20:4022/rtp/239.29.1.197:5000
山东卫视4K,http://123.179.62.20:4022/rtp/239.29.1.196:5000
山东卫视4K,http://123.179.62.20:4022/rtp/239.29.1.198:5000
广东卫视4K,http://123.179.62.20:4022/rtp/239.29.1.184:5000
江苏卫视4K,http://123.179.62.20:4022/rtp/239.29.1.194:5000
浙江卫视4K,http://123.179.62.20:4022/rtp/239.29.1.195:5000
深圳卫视4K,http://123.179.62.20:4022/rtp/239.29.1.185:5000
湖南卫视4K,http://123.179.62.20:4022/rtp/239.29.1.193:5000
东南卫视,http://123.179.62.20:4022/rtp/239.29.0.103:5000
东南卫视,http://123.179.62.20:4022/rtp/239.29.1.27:5001
东方卫视,http://123.179.62.20:4022/rtp/239.29.0.97:5000
东方卫视,http://123.179.62.20:4022/rtp/239.29.1.28:5001
云南卫视,http://123.179.62.20:4022/rtp/239.29.1.192:5000
云南卫视,http://123.179.62.20:4022/rtp/239.29.1.31:5001
兵团卫视,http://123.179.62.20:4022/rtp/239.29.1.190:5000
兵团卫视,http://123.179.62.20:4022/rtp/239.29.1.34:5001
北京卫视,http://123.179.62.20:4022/rtp/239.29.0.108:5000
北京卫视,http://123.179.62.20:4022/rtp/239.29.1.40:5001
吉林卫视,http://123.179.62.20:4022/rtp/239.29.1.125:5000
吉林卫视,http://123.179.62.20:4022/rtp/239.29.1.159:5000
吉林卫视,http://123.179.62.20:4022/rtp/239.29.1.183:5000
吉林卫视,http://123.179.62.20:4022/rtp/239.29.1.43:5001
四川卫视,http://123.179.62.20:4022/rtp/239.29.0.100:5000
四川卫视,http://123.179.62.20:4022/rtp/239.29.1.45:5001
天津卫视,http://123.179.62.20:4022/rtp/239.29.0.98:5000
天津卫视,http://123.179.62.20:4022/rtp/239.29.1.48:5001
宁夏卫视,http://123.179.62.20:4022/rtp/239.29.1.191:5000
宁夏卫视,http://123.179.62.20:4022/rtp/239.29.1.50:5001
安徽卫视,http://123.179.62.20:4022/rtp/239.29.0.81:5000
安徽卫视,http://123.179.62.20:4022/rtp/239.29.1.51:5001
山东卫视,http://123.179.62.20:4022/rtp/239.29.0.106:5000
山东卫视,http://123.179.62.20:4022/rtp/239.29.1.54:5001
山东教育,http://123.179.62.20:4022/rtp/239.29.1.96:5001
山西卫视,http://123.179.62.20:4022/rtp/239.29.1.187:5000
山西卫视,http://123.179.62.20:4022/rtp/239.29.1.55:5001
广东卫视,http://123.179.62.20:4022/rtp/239.29.0.123:5000
广东卫视,http://123.179.62.20:4022/rtp/239.29.1.56:5001
广西卫视,http://123.179.62.20:4022/rtp/239.29.1.186:5000
广西卫视,http://123.179.62.20:4022/rtp/239.29.1.57:5001
新疆卫视,http://123.179.62.20:4022/rtp/239.29.1.189:5000
新疆卫视,http://123.179.62.20:4022/rtp/239.29.1.59:5001
江苏卫视,http://123.179.62.20:4022/rtp/239.29.0.102:5000
江苏卫视,http://123.179.62.20:4022/rtp/239.29.1.66:5001
江西卫视,http://123.179.62.20:4022/rtp/239.29.1.158:5000
江西卫视,http://123.179.62.20:4022/rtp/239.29.1.67:5001
河北卫视,http://123.179.62.20:4022/rtp/239.29.0.124:5000
河北卫视,http://123.179.62.20:4022/rtp/239.29.1.68:5001
河南卫视,http://123.179.62.20:4022/rtp/239.29.1.165:5000
河南卫视,http://123.179.62.20:4022/rtp/239.29.1.69:5001
浙江卫视,http://123.179.62.20:4022/rtp/239.29.0.96:5000
浙江卫视,http://123.179.62.20:4022/rtp/239.29.1.70:5001
海南卫视,http://123.179.62.20:4022/rtp/239.29.1.126:5000
海南卫视,http://123.179.62.20:4022/rtp/239.29.1.60:5001
深圳卫视,http://123.179.62.20:4022/rtp/239.29.0.105:5000
深圳卫视,http://123.179.62.20:4022/rtp/239.29.1.71:5001
湖北卫视,http://123.179.62.20:4022/rtp/239.29.0.107:5000
湖北卫视,http://123.179.62.20:4022/rtp/239.29.1.73:5001
湖南卫视,http://123.179.62.20:4022/rtp/239.29.0.90:5000
湖南卫视,http://123.179.62.20:4022/rtp/239.29.1.74:5001
甘肃卫视,http://123.179.62.20:4022/rtp/239.29.1.124:5000
甘肃卫视,http://123.179.62.20:4022/rtp/239.29.1.160:5000
甘肃卫视,http://123.179.62.20:4022/rtp/239.29.1.95:5001
西藏卫视,http://123.179.62.20:4022/rtp/239.29.1.188:5000
西藏卫视,http://123.179.62.20:4022/rtp/239.29.1.79:5001
贵州卫视,http://123.179.62.20:4022/rtp/239.29.0.104:5000
贵州卫视,http://123.179.62.20:4022/rtp/239.29.1.80:5001
辽宁卫视,http://123.179.62.20:4022/rtp/239.29.0.109:5000
辽宁卫视,http://123.179.62.20:4022/rtp/239.29.1.81:5001
重庆卫视,http://123.179.62.20:4022/rtp/239.29.0.99:5000
重庆卫视,http://123.179.62.20:4022/rtp/239.29.1.157:5000
重庆卫视,http://123.179.62.20:4022/rtp/239.29.1.83:5001
陕西卫视,http://123.179.62.20:4022/rtp/239.29.1.86:5001
青海卫视,http://123.179.62.20:4022/rtp/239.29.1.87:5001
黑龙江卫视,http://123.179.62.20:4022/rtp/239.29.0.91:5000
黑龙江卫视,http://123.179.62.20:4022/rtp/239.29.1.91:5001
内蒙古农牧,http://123.179.62.20:4022/rtp/239.29.0.209:5000
内蒙古农牧,http://123.179.62.20:4022/rtp/239.29.0.4:5000
内蒙古卫视,http://123.179.62.20:4022/rtp/239.29.0.143:5000
内蒙古卫视,http://123.179.62.20:4022/rtp/239.29.0.176:5000
内蒙古卫视,http://123.179.62.20:4022/rtp/239.29.0.1:5000
内蒙古卫视,http://123.179.62.20:4022/rtp/239.29.0.2:5000
内蒙古卫视,http://123.179.62.20:4022/rtp/239.29.1.102:5000
内蒙古卫视,http://123.179.62.20:4022/rtp/239.29.1.104:5000
内蒙古少儿,http://123.179.62.20:4022/rtp/239.29.0.207:5000
内蒙古少儿,http://123.179.62.20:4022/rtp/239.29.0.3:5000
内蒙古文体娱乐,http://123.179.62.20:4022/rtp/239.29.0.211:5000
内蒙古文体娱乐,http://123.179.62.20:4022/rtp/239.29.0.5:5000
内蒙古新闻综合,http://123.179.62.20:4022/rtp/239.29.0.208:5000
内蒙古新闻综合,http://123.179.62.20:4022/rtp/239.29.0.6:5000
内蒙古经济生活,http://123.179.62.20:4022/rtp/239.29.0.212:5000
内蒙古经济生活,http://123.179.62.20:4022/rtp/239.29.0.7:5000
内蒙古蒙古语卫视,http://123.179.62.20:4022/rtp/239.29.0.10:5000
内蒙古蒙古语卫视,http://123.179.62.20:4022/rtp/239.29.0.9:5000
内蒙古蒙古语文化,http://123.179.62.20:4022/rtp/239.29.0.210:5000
内蒙古蒙古语文化,http://123.179.62.20:4022/rtp/239.29.0.8:5000
兴安盟新闻综合,http://123.179.62.20:4022/rtp/239.29.0.16:5000
兴安盟影视娱乐,http://123.179.62.20:4022/rtp/239.29.0.18:5000
兴安盟文化旅游,http://123.179.62.20:4022/rtp/239.29.0.17:5000
满洲里电视台,http://123.179.62.20:4022/rtp/239.29.0.34:5000
乌拉特中旗综合,http://123.179.62.20:4022/rtp/239.29.0.152:5000
乌拉特前旗综合,http://123.179.62.20:4022/rtp/239.29.0.150:5000
乌海新闻综合,http://123.179.62.20:4022/rtp/239.29.0.11:5000
乌海都市生活,http://123.179.62.20:4022/rtp/239.29.0.12:5000
乌兰察布新闻综合,http://123.179.62.20:4022/rtp/239.29.0.22:5000
五原综合,http://123.179.62.20:4022/rtp/239.29.0.148:5000
五原综合,http://123.179.62.20:4022/rtp/239.29.1.103:5000
伊金霍洛旗综合,http://123.179.62.20:4022/rtp/239.29.1.105:5000
准格尔旗综合,http://123.179.62.20:4022/rtp/239.29.0.153:5000
准格尔旗综合,http://123.179.62.20:4022/rtp/239.29.0.192:5000
