北京电信-组播1,#genre#
爱上4K,http://115.171.216.32:4000/rtp/225.1.8.80:2000
BRTV卡酷少儿,http://115.171.216.32:4000/rtp/225.1.8.130:8002
BRTV卡酷少儿,http://115.171.216.32:4000/rtp/225.1.8.35:8000
BRTV国际,http://115.171.216.32:4000/rtp/225.1.8.131:8002
BRTV影视,http://115.171.216.32:4000/rtp/225.1.8.124:8002
BRTV影视,http://115.171.216.32:4000/rtp/225.1.8.82:8000
BRTV文艺,http://115.171.216.32:4000/rtp/225.1.8.122:8002
BRTV文艺,http://115.171.216.32:4000/rtp/225.1.8.22:8002
BRTV新闻,http://115.171.216.32:4000/rtp/225.1.8.129:8002
BRTV新闻,http://115.171.216.32:4000/rtp/225.1.8.83:8000
BRTV生活,http://115.171.216.32:4000/rtp/225.1.8.108:8002
BRTV生活,http://115.171.216.32:4000/rtp/225.1.8.127:8002
BRTV纪实科教,http://115.171.216.32:4000/rtp/225.1.8.105:8002
BRTV纪实科教,http://115.171.216.32:4000/rtp/225.1.8.120:8002
BRTV纪实科教,http://115.171.216.32:4000/rtp/225.1.8.123:8002
BRTV纪实科教,http://115.171.216.32:4000/rtp/225.1.8.126:8002
BRTV纪实科教,http://115.171.216.32:4000/rtp/225.1.8.164:8002
BRTV纪实科教,http://115.171.216.32:4000/rtp/225.1.8.23:8002
BRTV财经,http://115.171.216.32:4000/rtp/225.1.8.106:8002
BRTV财经,http://115.171.216.32:4000/rtp/225.1.8.125:8002
CCTV-1 综合,http://115.171.216.32:4000/rtp/225.1.8.101:8080
CCTV-1 综合,http://115.171.216.32:4000/rtp/225.1.8.1:8008
CCTV-10 科教,http://115.171.216.32:4000/rtp/225.1.8.10:8116
CCTV-10 科教,http://115.171.216.32:4000/rtp/225.1.8.110:8228
CCTV-11 戏曲,http://115.171.216.32:4000/rtp/225.1.8.111:8040
CCTV-11 戏曲,http://115.171.216.32:4000/rtp/225.1.8.73:8120
CCTV-12 社会与法,http://115.171.216.32:4000/rtp/225.1.8.112:8232
CCTV-12 社会与法,http://115.171.216.32:4000/rtp/225.1.8.12:8124
CCTV-13 新闻,http://115.171.216.32:4000/rtp/225.1.1.10:8128
CCTV-13 新闻,http://115.171.216.32:4000/rtp/225.1.8.113:8264
CCTV-13 新闻,http://115.171.216.32:4000/rtp/225.1.8.168:8130
CCTV-14 少儿,http://115.171.216.32:4000/rtp/225.1.8.114:8236
CCTV-14 少儿,http://115.171.216.32:4000/rtp/225.1.8.14:8132
CCTV-15 音乐,http://115.171.216.32:4000/rtp/225.1.8.115:8052
CCTV-15 音乐,http://115.171.216.32:4000/rtp/225.1.8.74:8136
CCTV-17 农业农村,http://115.171.216.32:4000/rtp/225.1.8.117:8064
CCTV-17 农业农村,http://115.171.216.32:4000/rtp/225.1.8.17:8144
CCTV-2 财经,http://115.171.216.32:4000/rtp/225.1.8.102:8004
CCTV-2 财经,http://115.171.216.32:4000/rtp/225.1.8.2:8084
CCTV-3 综艺,http://115.171.216.32:4000/rtp/225.1.8.88:8000
CCTV-3 综艺,http://115.171.216.32:4000/rtp/225.1.8.92:8000
CCTV-4 中文国际,http://115.171.216.32:4000/rtp/225.1.8.104:8216
CCTV-4 中文国际,http://115.171.216.32:4000/rtp/225.1.8.4:8092
CCTV-5 体育,http://115.171.216.32:4000/rtp/225.1.8.89:8000
CCTV-5 体育,http://115.171.216.32:4000/rtp/225.1.8.93:8000
CCTV-5+ 体育赛事,http://115.171.216.32:4000/rtp/225.1.8.20:8004
CCTV-6 电影,http://115.171.216.32:4000/rtp/225.1.8.84:8000
CCTV-6 电影,http://115.171.216.32:4000/rtp/225.1.8.90:8000
CCTV-7 国防军事,http://115.171.216.32:4000/rtp/225.1.8.107:8024
CCTV-7 国防军事,http://115.171.216.32:4000/rtp/225.1.8.7:8104
CCTV-8 电视剧,http://115.171.216.32:4000/rtp/225.1.8.85:8000
CCTV-8 电视剧,http://115.171.216.32:4000/rtp/225.1.8.91:8000
CCTV-9 纪录,http://115.171.216.32:4000/rtp/225.1.8.109:8032
CCTV-9 纪录,http://115.171.216.32:4000/rtp/225.1.8.9:8112
CETV1,http://115.171.216.32:4000/rtp/225.1.8.169:4120
CETV1,http://115.171.216.32:4000/rtp/225.1.8.32:8152
CETV2,http://115.171.216.32:4000/rtp/225.1.8.193:4120
CETV3,http://115.171.216.32:4000/rtp/225.1.8.194:4120
CETV4,http://115.171.216.32:4000/rtp/225.1.8.195:4120
CGTN,http://115.171.216.32:4000/rtp/225.1.8.116:8056
三沙卫视,http://115.171.216.32:4000/rtp/225.1.8.78:4120
东南卫视,http://115.171.216.32:4000/rtp/225.1.8.149:8112
东南卫视,http://115.171.216.32:4000/rtp/225.1.8.79:8148
东方卫视,http://115.171.216.32:4000/rtp/225.1.8.147:8192
东方卫视,http://115.171.216.32:4000/rtp/225.1.8.45:8032
云南卫视,http://115.171.216.32:4000/rtp/225.1.8.139:8108
体育赛事,http://115.171.216.32:4000/rtp/225.1.8.81:8176
兵团卫视,http://115.171.216.32:4000/rtp/225.1.8.167:4120
内蒙古卫视,http://115.171.216.32:4000/rtp/225.1.8.156:8176
南方卫视,http://115.171.216.32:4000/rtp/225.1.8.225:5008
厦门卫视,http://115.171.216.32:4000/rtp/225.1.8.166:4120
吉林卫视,http://115.171.216.32:4000/rtp/225.1.8.153:8200
四川卫视,http://115.171.216.32:4000/rtp/225.1.8.142:8288
天津卫视,http://115.171.216.32:4000/rtp/225.1.8.136:8144
天津卫视,http://115.171.216.32:4000/rtp/225.1.8.48:8044
宁夏卫视,http://115.171.216.32:4000/rtp/225.1.8.159:8124
安徽卫视,http://115.171.216.32:4000/rtp/225.1.8.135:8272
安徽卫视,http://115.171.216.32:4000/rtp/225.1.8.52:8064
山东卫视,http://115.171.216.32:4000/rtp/225.1.8.138:8148
山东卫视,http://115.171.216.32:4000/rtp/225.1.8.50:8052
山西卫视,http://115.171.216.32:4000/rtp/225.1.8.155:8172
广东卫视,http://115.171.216.32:4000/rtp/225.1.8.151:8132
广东卫视,http://115.171.216.32:4000/rtp/225.1.8.49:8048
广西卫视,http://115.171.216.32:4000/rtp/225.1.8.152:8300
新疆卫视,http://115.171.216.32:4000/rtp/225.1.8.161:8160
江苏卫视,http://115.171.216.32:4000/rtp/225.1.8.134:8276
江苏卫视,http://115.171.216.32:4000/rtp/225.1.8.44:8028
江西卫视,http://115.171.216.32:4000/rtp/225.1.1.9:8164
江西卫视,http://115.171.216.32:4000/rtp/225.1.8.143:8280
江西卫视,http://115.171.216.32:4000/rtp/225.1.8.171:8166
河北卫视,http://115.171.216.32:4000/rtp/225.1.8.150:8292
河北卫视,http://115.171.216.32:4000/rtp/225.1.8.76:8002
河南卫视,http://115.171.216.32:4000/rtp/225.1.8.140:8128
浙江卫视,http://115.171.216.32:4000/rtp/225.1.8.133:8284
浙江卫视,http://115.171.216.32:4000/rtp/225.1.8.46:8036
海南卫视,http://115.171.216.32:4000/rtp/225.1.8.158:8304
深圳卫视,http://115.171.216.32:4000/rtp/225.1.8.145:9244
深圳卫视,http://115.171.216.32:4000/rtp/225.1.8.43:8020
湖北卫视,http://115.171.216.32:4000/rtp/225.1.8.146:8136
湖北卫视,http://115.171.216.32:4000/rtp/225.1.8.47:8044
湖南卫视,http://115.171.216.32:4000/rtp/225.1.8.132:8064
湖南卫视,http://115.171.216.32:4000/rtp/225.1.8.41:8012
甘肃卫视,http://115.171.216.32:4000/rtp/225.1.8.162:8188
西藏卫视,http://115.171.216.32:4000/rtp/225.1.8.160:8164
贵州卫视,http://115.171.216.32:4000/rtp/225.1.8.144:8120
贵州卫视,http://115.171.216.32:4000/rtp/225.1.8.77:8076
辽宁卫视,http://115.171.216.32:4000/rtp/225.1.8.137:8116
