山东电信-组播1,#genre#
BRTV卡酷少儿,http://123.168.210.194:6777/udp/239.21.2.120:5002
BRTV纪实科教,http://123.168.210.194:6777/udp/239.21.1.172:5002$1080p
CCTV-1 综合,http://123.168.210.194:6777/udp/239.21.1.120:5002
CCTV-1 综合,http://123.168.210.194:6777/udp/239.21.1.1:5002
CCTV-2 财经,http://123.168.210.194:6777/udp/239.21.1.151:5002
CCTV-3 综艺,http://123.168.210.194:6777/udp/239.21.2.45:5002
CCTV-4 中文国际,http://123.168.210.194:6777/udp/239.21.1.154:5002
CCTV-4 欧洲,http://123.168.210.194:6777/udp/239.21.2.28:5002$1080p
CCTV-4 美洲,http://123.168.210.194:6777/udp/239.21.2.29:5002$1080p
CCTV-5 体育,http://123.168.210.194:6777/udp/239.21.2.46:5002
CCTV-5+ 体育赛事,http://123.168.210.194:6777/udp/239.21.1.142:5002$1080p
CCTV-6 电影,http://123.168.210.194:6777/udp/239.21.2.47:5002
CCTV-7 国防军事,http://123.168.210.194:6777/udp/239.21.1.152:5002$1080p
CCTV-8 电视剧,http://123.168.210.194:6777/udp/239.21.2.48:5002
CCTV-9 纪录,http://123.168.210.194:6777/udp/239.21.1.153:5002
CCTV-10 科教,http://123.168.210.194:6777/udp/239.21.1.155:5002$1080p
CCTV-11 戏曲,http://123.168.210.194:6777/udp/239.21.2.2:5002$1080p
CCTV-12 社会与法,http://123.168.210.194:6777/udp/239.21.1.156:5002$1080p
CCTV-13 新闻,http://123.168.210.194:6777/udp/239.21.2.3:5002$1080p
CCTV-14 少儿,http://123.168.210.194:6777/udp/239.21.1.157:5002
CCTV-15 音乐,http://123.168.210.194:6777/udp/239.21.2.4:5002$1080p
CCTV-16 奥林匹克,http://123.168.210.194:6777/udp/239.21.2.110:5002
CCTV-17 农业农村,http://123.168.210.194:6777/udp/239.21.1.186:5002$1080p
CCTV4K,http://123.168.210.194:6777/udp/239.21.2.152:5002
CETV1,http://123.168.210.194:6777/udp/239.21.2.7:5002$1080p
CETV2,http://123.168.210.194:6777/udp/239.21.2.8:5002$576p
CETV4,http://123.168.210.194:6777/udp/239.21.2.129:5002
CGTN,http://123.168.210.194:6777/udp/239.21.1.10:5002$576p
CGTN,http://123.168.210.194:6777/udp/239.21.2.30:5002$1080p
CGTN俄语,http://123.168.210.194:6777/udp/239.21.2.35:5002$1080p
CGTN法语,http://123.168.210.194:6777/udp/239.21.2.33:5002$1080p
CGTN纪录,http://123.168.210.194:6777/udp/239.21.2.31:5002$1080p
CGTN西语,http://123.168.210.194:6777/udp/239.21.2.32:5002$1080p
CGTN阿语,http://123.168.210.194:6777/udp/239.21.2.34:5002$1080p
CHC动作电影,http://123.168.210.194:6777/udp/239.21.2.128:5002
