湖北联通-组播1,#genre#
CCTV-1 综合,http://0.0.0.0:0/rtp/228.0.0.167:7167
CCTV-1 综合,http://0.0.0.0:0/rtp/228.0.0.1:6108
CCTV-2 财经,http://0.0.0.0:0/rtp/228.0.0.213:6108
CCTV-2 财经,http://0.0.0.0:0/rtp/228.0.0.2:6108
CCTV-3 综艺,http://0.0.0.0:0/rtp/228.0.0.156:7156
CCTV-3 综艺,http://0.0.0.0:0/rtp/228.0.0.214:6108
CCTV-4 中文国际,http://0.0.0.0:0/rtp/228.0.0.143:7143
CCTV-4 中文国际,http://0.0.0.0:0/rtp/228.0.0.215:6108
CCTV-5 体育,http://0.0.0.0:0/rtp/228.0.0.112:6108
CCTV-5 体育,http://0.0.0.0:0/rtp/228.0.0.5:6108
CCTV-5+ 体育赛事,http://0.0.0.0:0/rtp/228.0.0.17:6108
CCTV-6 电影,http://0.0.0.0:0/rtp/228.0.0.157:7157
CCTV-6 电影,http://0.0.0.0:0/rtp/228.0.0.217:6108
CCTV-7 国防军事,http://0.0.0.0:0/rtp/228.0.0.218:6108
CCTV-7 国防军事,http://0.0.0.0:0/rtp/228.0.0.7:6108
CCTV-8 电视剧,http://0.0.0.0:0/rtp/228.0.0.158:7158
CCTV-8 电视剧,http://0.0.0.0:0/rtp/228.0.0.219:6108
CCTV-9 纪录,http://0.0.0.0:0/rtp/228.0.0.220:6108
CCTV-9 纪录,http://0.0.0.0:0/rtp/228.0.0.9:6108
CCTV-10 科教,http://0.0.0.0:0/rtp/228.0.0.10:6108
CCTV-10 科教,http://0.0.0.0:0/rtp/228.0.0.221:6108
CCTV-11 戏曲,http://0.0.0.0:0/rtp/228.0.0.222:6108
CCTV-11 戏曲,http://0.0.0.0:0/rtp/228.0.0.242:6108
CCTV-12 社会与法,http://0.0.0.0:0/rtp/228.0.0.12:6108
CCTV-12 社会与法,http://0.0.0.0:0/rtp/228.0.0.223:6108
CCTV-13 新闻,http://0.0.0.0:0/rtp/228.0.0.13:6108
CCTV-13 新闻,http://0.0.0.0:0/rtp/228.0.0.202:6108
CCTV-14 少儿,http://0.0.0.0:0/rtp/228.0.0.14:6108
CCTV-15 音乐,http://0.0.0.0:0/rtp/228.0.0.15:6108
CCTV-16 奥林匹克,http://0.0.0.0:0/rtp/228.0.0.249:6108
CCTV-17 农业农村,http://0.0.0.0:0/rtp/228.0.0.161:7161
BRTV卡酷少儿,http://0.0.0.0:0/rtp/228.0.0.58:6108
CCTV第一剧场,http://0.0.0.0:0/rtp/228.0.0.235:6108
CCTV风云足球,http://0.0.0.0:0/rtp/228.0.0.236:6108
CETV1,http://0.0.0.0:0/rtp/228.0.0.146:7146
CETV2,http://0.0.0.0:0/rtp/228.0.0.198:7198
CGTN,http://0.0.0.0:0/rtp/228.0.0.16:6108
CHC动作电影,http://0.0.0.0:0/rtp/228.0.0.212:6108
CHC家庭影院,http://0.0.0.0:0/rtp/228.0.0.211:6108
CHC高清电影,http://0.0.0.0:0/rtp/228.0.0.233:6108
三沙卫视,http://0.0.0.0:0/rtp/228.0.0.174:7174
东南卫视,http://0.0.0.0:0/rtp/228.0.0.144:7144
东方卫视,http://0.0.0.0:0/rtp/228.0.0.62:6108
中国教育4,http://0.0.0.0:0/rtp/228.0.0.177:7177
中央新影-老故事,http://0.0.0.0:0/rtp/228.0.0.238:6108
云南卫视,http://0.0.0.0:0/rtp/228.0.0.48:6108
体 育赛事,http://0.0.0.0:0/rtp/228.0.0.175:7175
先锋乒羽,http://0.0.0.0:0/rtp/228.0.0.241:6108
内蒙古卫视,http://0.0.0.0:0/rtp/228.0.0.52:6108
北京卫视,http://0.0.0.0:0/rtp/228.0.0.63:6108
十堰公共,http://0.0.0.0:0/rtp/228.0.0.200:7200
十堰新闻综合,http://0.0.0.0:0/rtp/228.0.0.199:7199
十堰经济,http://0.0.0.0:0/rtp/228.0.0.201:7201
吉林卫视,http://0.0.0.0:0/rtp/228.0.0.45:6108
四川卫视,http://0.0.0.0:0/rtp/228.0.0.231:6108
国学频道,http://0.0.0.0:0/rtp/228.0.0.75:6108
天津卫视,http://0.0.0.0:0/rtp/228.0.0.120:6108
宁夏卫视,http://0.0.0.0:0/rtp/228.0.0.30:6108
