湖南移动-组播1,#genre#
CCTV-1 综合,http://0.0.0.0:0/rtp/239.1.0.105:1025
CCTV-1 综合,http://0.0.0.0:0/rtp/239.1.0.3:1025
CCTV-2 财经,http://0.0.0.0:0/rtp/239.1.0.119:1025
CCTV-2 财经,http://0.0.0.0:0/rtp/239.1.0.24:1025
CCTV-3 综艺,http://0.0.0.0:0/rtp/239.1.0.120:1025
CCTV-3 综艺,http://0.0.0.0:0/rtp/239.1.0.25:1025
CCTV-4 中文国际,http://0.0.0.0:0/rtp/239.1.0.121:1025
CCTV-4 中文国际,http://0.0.0.0:0/rtp/239.1.0.26:1025
CCTV-4 欧洲,http://0.0.0.0:0/rtp/239.1.1.34:1025
CCTV-4 美洲,http://0.0.0.0:0/rtp/239.1.1.35:1025
CCTV-5 体育,http://0.0.0.0:0/rtp/239.1.0.122:1025
CCTV-5 体育,http://0.0.0.0:0/rtp/239.1.0.27:1025
CCTV-5+ 体育赛事,http://0.0.0.0:0/rtp/239.1.0.130:1025
CCTV-5+ 体育赛事,http://0.0.0.0:0/rtp/239.1.0.4:1025
CCTV-6 电影,http://0.0.0.0:0/rtp/239.1.0.123:1025
CCTV-6 电影,http://0.0.0.0:0/rtp/239.1.0.28:1025
CCTV-7 国防军事,http://0.0.0.0:0/rtp/239.1.0.124:1025
CCTV-7 国防军事,http://0.0.0.0:0/rtp/239.1.0.29:1025
CCTV-8 电视剧,http://0.0.0.0:0/rtp/239.1.0.125:1025
CCTV-8 电视剧,http://0.0.0.0:0/rtp/239.1.0.30:1025
CCTV-9 纪录,http://0.0.0.0:0/rtp/239.1.0.126:1025
CCTV-9 纪录,http://0.0.0.0:0/rtp/239.1.0.31:1025
CCTV-10 科教,http://0.0.0.0:0/rtp/239.1.0.127:1025
CCTV-10 科教,http://0.0.0.0:0/rtp/239.1.0.33:1025
CCTV-11 戏曲,http://0.0.0.0:0/rtp/239.1.0.203:1025
CCTV-11 戏曲,http://0.0.0.0:0/rtp/239.1.0.34:1025
CCTV-12社会与法,http://0.0.0.0:0/rtp/239.1.0.128:1025
CCTV-12社会与法,http://0.0.0.0:0/rtp/239.1.0.35:1025
CCTV-13 新闻,http://0.0.0.0:0/rtp/239.1.0.144:1025
CCTV-13 新闻,http://0.0.0.0:0/rtp/239.1.0.36:1025
CCTV-14 少儿,http://0.0.0.0:0/rtp/239.1.0.129:1025
CCTV-14 少儿,http://0.0.0.0:0/rtp/239.1.0.37:1025
CCTV-15 音乐,http://0.0.0.0:0/rtp/239.1.0.204:1025
CCTV-15 音乐,http://0.0.0.0:0/rtp/239.1.0.38:1025
CCTV-16 奥林匹克,http://0.0.0.0:0/rtp/239.1.0.175:1025
CCTV-16 奥林匹克,http://0.0.0.0:0/rtp/239.1.1.67:1025
CCTV-17 农业农村,http://0.0.0.0:0/rtp/239.1.0.208:1025
CCTV-17 农业农村,http://0.0.0.0:0/rtp/239.1.0.209:1025
CCTV世界地理,http://0.0.0.0:0/rtp/239.1.1.56:1025
CCTV兵器科技,http://0.0.0.0:0/rtp/239.1.1.51:1025
CCTV央视台球,http://0.0.0.0:0/rtp/239.1.1.55:1025
CCTV央视文化精品,http://0.0.0.0:0/rtp/239.1.1.61:1025
CCTV女性时尚,http://0.0.0.0:0/rtp/239.1.1.62:1025
CCTV怀旧剧场,http://0.0.0.0:0/rtp/239.1.1.57:1025
CCTV电视指南,http://0.0.0.0:0/rtp/239.1.1.52:1025
CCTV第一剧场,http://0.0.0.0:0/rtp/239.1.1.59:1025
CCTV风云剧场,http://0.0.0.0:0/rtp/239.1.1.58:1025
CCTV风云足球,http://0.0.0.0:0/rtp/239.1.1.53:1025
CCTV风云音乐,http://0.0.0.0:0/rtp/239.1.1.60:1025
CCTV高尔夫网球,http://0.0.0.0:0/rtp/239.1.1.54:1025
CETV1,http://0.0.0.0:0/rtp/239.1.0.159:1025
CETV2,http://0.0.0.0:0/rtp/239.1.0.198:1025
CETV4,http://0.0.0.0:0/rtp/239.1.0.199:1025
CGTN,http://0.0.0.0:0/rtp/239.1.0.39:1025
CGTN俄语,http://0.0.0.0:0/rtp/239.1.1.39:1025
CGTN法语,http://0.0.0.0:0/rtp/239.1.1.37:1025
CGTN纪录,http://0.0.0.0:0/rtp/239.1.0.32:1025
CGTN西语,http://0.0.0.0:0/rtp/239.1.1.36:1025
CGTN阿语,http://0.0.0.0:0/rtp/239.1.1.38:1025
CHC动作电影,http://0.0.0.0:0/rtp/239.1.0.245:1025
CHC家庭影院,http://0.0.0.0:0/rtp/239.1.0.149:1025
CHC影迷电影,http://0.0.0.0:0/rtp/239.1.0.150:1025
三沙卫视,http://0.0.0.0:0/rtp/239.1.0.205:1025
东南卫视,http://0.0.0.0:0/rtp/239.1.0.184:1025
东南卫视,http://0.0.0.0:0/rtp/239.1.0.48:1025
东方卫视,http://0.0.0.0:0/rtp/239.1.0.133:1025
东方卫视4K,http://0.0.0.0:0/rtp/239.1.1.170:1025
东方卫视4K,http://0.0.0.0:0/rtp/239.1.1.171:1025
中华特产,http://0.0.0.0:0/rtp/239.1.0.248:1025
中国天气,http://0.0.0.0:0/rtp/239.1.0.94:1025
中央新影-老故事,http://0.0.0.0:0/rtp/239.1.0.148:1025
书画,http://0.0.0.0:0/rtp/239.1.0.246:1025
云南卫视,http://0.0.0.0:0/rtp/239.1.1.47:1025
优优宝贝,http://0.0.0.0:0/rtp/239.1.0.69:1025
优漫卡通,http://0.0.0.0:0/rtp/239.1.0.78:1025
兵团卫视,http://0.0.0.0:0/rtp/239.1.0.169:1025
内蒙古卫视,http://0.0.0.0:0/rtp/239.1.0.84:1025
北京卫视,http://0.0.0.0:0/rtp/239.1.0.131:1025
卡酷少儿,http://0.0.0.0:0/rtp/239.1.1.49:1025
厦门卫视,http://0.0.0.0:0/rtp/239.1.0.168:1025
吉林卫视,http://0.0.0.0:0/rtp/239.1.0.12:1025
