福建电信-组播1,#genre#
福建综合,http://27.152.133.130:34567/rtp/239.61.2.1:8000
福建综合,http://27.152.133.130:34567/rtp/239.61.3.4:9542
福建综合,http://27.152.133.130:34567/rtp/239.61.5.167:1025
福建综合,http://27.152.133.130:34567/rtp/239.61.4.1:1025
福建少儿,http://27.152.133.130:34567/rtp/239.61.4.9:1025
福建少儿,http://27.152.133.130:34567/rtp/239.61.2.9:8048
福建教育,http://27.152.133.130:34567/rtp/239.61.5.60:1025
福建教育,http://27.152.133.130:34567/rtp/239.61.2.173:9026
福建新闻,http://27.152.133.130:34567/rtp/239.61.2.4:8018
福建新闻,http://27.152.133.130:34567/rtp/239.61.2.3:8012
福建新闻,http://27.152.133.130:34567/rtp/239.61.4.4:1025
福建新闻,http://27.152.133.130:34567/rtp/239.61.4.3:1025
福建文旅体育,http://27.152.133.130:34567/rtp/239.61.4.6:1025
福建文旅体育,http://27.152.133.130:34567/rtp/239.61.5.44:1025
福建文旅体育,http://27.152.133.130:34567/rtp/239.61.2.6:8030
厦门卫视,http://27.152.133.130:34567/rtp/239.61.4.11:1025
厦门卫视,http://27.152.133.130:34567/rtp/239.61.2.11:8060
厦门综合,http://27.152.133.130:34567/rtp/239.61.3.55:9848
厦门综合,http://27.152.133.130:34567/rtp/239.61.5.99:1025
厦门影视,http://27.152.133.130:34567/rtp/239.61.3.56:9854
海峡卫视,http://27.152.133.130:34567/rtp/239.61.2.151:8894
海峡卫视,http://27.152.133.130:34567/rtp/239.61.5.45:1025
漳州新闻综合,http://27.152.133.130:34567/rtp/239.61.5.91:1025
南平综合,http://27.152.133.130:34567/rtp/239.61.5.92:1025
三明综合,http://27.152.133.130:34567/rtp/239.61.5.93:1025
莆田新闻综合,http://27.152.133.130:34567/rtp/239.61.5.94:1025
龙岩综合,http://27.152.133.130:34567/rtp/239.61.5.95:1025
宁德新闻综合,http://27.152.133.130:34567/rtp/239.61.5.96:1025
福州新闻综合,http://27.152.133.130:34567/rtp/239.61.5.97:1025
泉州新闻综合,http://27.152.133.130:34567/rtp/239.61.5.98:1025
平潭综合,http://27.152.133.130:34567/rtp/239.61.5.117:1025
福州新闻综合,http://27.152.133.130:34567/rtp/239.61.5.164:1025
BRTV卡酷少儿,http://27.152.133.130:34567/rtp/239.61.2.222:9320
CCTV-1 综合,http://27.152.133.130:34567/rtp/239.61.3.60:9878
CCTV-1 综合,http://27.152.133.130:34567/rtp/239.61.3.61:9884
CCTV-1 综合,http://27.152.133.130:34567/rtp/239.61.4.176:1025
CCTV-1 综合,http://27.152.133.130:34567/rtp/239.61.4.142:1025
CCTV-1 综合,http://27.152.133.130:34567/rtp/239.61.4.15:1025
CCTV-1 综合,http://27.152.133.130:34567/rtp/239.61.4.175:1025
CCTV-1 综合,http://27.152.133.130:34567/rtp/239.61.4.207:1025
CCTV-1 综合,http://27.152.133.130:34567/rtp/239.61.4.212:1025
