浙江频道 2026/07/28 12:22:10 更新,#genre#
浙江卫视,https://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
浙江钱江都市,https://ali-xwl.cztv.com/live/channel021080Plxw.m3u8
浙江经济生活,https://ali-xwl.cztv.com/live/channel031080Plxw.m3u8
浙江教科影视,https://ali-xwl.cztv.com/live/channel041080Plxw.m3u8
浙江民生休闲,https://ali-xwl.cztv.com/live/channel061080Plxw.m3u8
浙江新闻,https://ali-xwl.cztv.com/live/channel071080Plxw.m3u8
浙江少儿,https://ali-xwl.cztv.com/live/channel081080Plxw.m3u8
浙江国际,https://ali-xwl.cztv.com/live/channel101080Plxw.m3u8
浙江好易购,https://ali-xwl.cztv.com/live/channel111080Plxw.m3u8
浙江之江纪录,https://ali-xwl.cztv.com/live/channel121080Plxw.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
浙江钱江都市,https://ali-xwl.cztv.com/live/channel021080Pnew.m3u8
浙江经济生活,https://ali-xwl.cztv.com/live/channel031080Pnew.m3u8
浙江教科影视,https://ali-xwl.cztv.com/live/channel041080Pnew.m3u8
浙江民生休闲,https://ali-xwl.cztv.com/live/channel061080Pnew.m3u8
浙江新闻,https://ali-xwl.cztv.com/live/channel071080Pnew.m3u8
浙江少儿,https://ali-xwl.cztv.com/live/channel081080Pnew.m3u8
浙江国际,https://ali-xwl.cztv.com/live/channel101080Pnew.m3u8
浙江好易购,https://ali-xwl.cztv.com/live/channel111080Pnew.m3u8
浙江之江纪录,https://ali-xwl.cztv.com/live/channel121080Pnew.m3u8
杭州综合,webview://https://ali-xwl.cztv.com:443/live/hangzhouds.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江钱江都市,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/720p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/720p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科影视,http://ali-m-l.cztv.com/channels/lantian/channel04/720p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江教科影视,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
