四川移动-组播1,#genre#
BESTV,http://171.213.134.23:4000/rtp/239.11.0.234:5140
BRTV卡酷少儿,http://171.213.134.23:4000/rtp/239.11.0.129:5140
BRTV纪实科教,http://171.213.134.23:4000/rtp/239.11.0.126:5140
CCTV-1 综合,http://171.213.134.23:4000/rtp/239.10.0.151:5140
CCTV-1 综合,http://171.213.134.23:4000/rtp/239.10.0.186:5140
CCTV-1 综合,http://171.213.134.23:4000/rtp/239.11.0.65:5140
CCTV-1 综合,http://171.213.134.23:4000/rtp/239.11.0.66:5140
CCTV-1 综合,http://171.213.134.23:4000/rtp/239.10.0.245:5140
CCTV-1 综合,http://171.213.134.23:4000/rtp/239.11.0.130:5140
CCTV-1 综合,http://171.213.134.23:4000/rtp/239.11.0.131:5140
CCTV-2 财经,http://171.213.134.23:4000/rtp/239.11.0.108:5140
CCTV-3 综艺,http://171.213.134.23:4000/rtp/239.11.0.101:5140
CCTV-4 中文国际,http://171.213.134.23:4000/rtp/239.10.0.190:5140
CCTV-4 中文国际,http://171.213.134.23:4000/rtp/239.11.0.109:5140
CCTV-5 体育,http://171.213.134.23:4000/rtp/239.11.0.100:5140
CCTV-5+ 体育赛事,http://171.213.134.23:4000/rtp/239.11.0.241:5140
CCTV-6 电影,http://171.213.134.23:4000/rtp/239.11.0.102:5140
CCTV-7 国防军事,http://171.213.134.23:4000/rtp/239.11.0.110:5140
CCTV-8 电视剧,http://171.213.134.23:4000/rtp/239.11.0.103:5140
CCTV-9 纪录,http://171.213.134.23:4000/rtp/239.11.0.111:5140
CCTV-10 科教,http://171.213.134.23:4000/rtp/239.11.0.112:5140
CCTV-11 戏曲,http://171.213.134.23:4000/rtp/239.10.0.150:5140
CCTV-11 戏曲,http://171.213.134.23:4000/rtp/239.11.0.22:5140
CCTV-12 社会与法,http://171.213.134.23:4000/rtp/239.11.0.113:5140
CCTV-13 新闻,http://171.213.134.23:4000/rtp/239.11.0.24:5140
CCTV-14 少儿,http://171.213.134.23:4000/rtp/239.11.0.114:5140
CCTV-15 音乐,http://171.213.134.23:4000/rtp/239.11.0.26:5140
CCTV-15 音乐,http://171.213.134.23:4000/rtp/239.11.0.69:5140
CCTV-16 奥林匹克,http://171.213.134.23:4000/rtp/239.10.0.187:5140
CCTV-16 奥林匹克,http://171.213.134.23:4000/rtp/239.11.0.67:5140
CCTV-17 农业农村,http://171.213.134.23:4000/rtp/239.11.0.107:5140
CCTV4K,http://171.213.134.23:4000/rtp/239.11.0.61:5140
CETV1,http://171.213.134.23:4000/rtp/239.11.0.139:5140
CETV2,http://171.213.134.23:4000/rtp/239.11.0.246:5140
CETV4,http://171.213.134.23:4000/rtp/239.11.0.248:5140
CGTN,http://171.213.134.23:4000/rtp/239.11.0.245:5140
CGTN俄语,http://171.213.134.23:4000/rtp/239.11.0.82:5140
CGTN法语,http://171.213.134.23:4000/rtp/239.11.0.80:5140
CGTN纪录,http://171.213.134.23:4000/rtp/239.11.0.138:5140
CGTN西语,http://171.213.134.23:4000/rtp/239.11.0.79:5140
CGTN阿语,http://171.213.134.23:4000/rtp/239.11.0.81:5140
CHC动作电影,http://171.213.134.23:4000/rtp/239.10.0.87:5140
CHC家庭影院,http://171.213.134.23:4000/rtp/239.10.0.86:5140
CHC影迷电影,http://171.213.134.23:4000/rtp/239.10.0.88:5140
中国交通,http://171.213.134.23:4000/rtp/239.10.0.143:5140
中央新影-中学生,http://171.213.134.23:4000/rtp/239.11.0.247:5140
东方卫视4K,http://171.213.134.23:4000/rtp/239.11.0.90:5140
北京卫视4K,http://171.213.134.23:4000/rtp/239.10.0.91:5140
北京卫视4K,http://171.213.134.23:4000/rtp/239.10.0.92:5140
四川卫视4K,http://171.213.134.23:4000/rtp/239.11.0.43:5140
四川卫视4K,http://171.213.134.23:4000/rtp/239.11.0.86:5140
山东卫视4K,http://171.213.134.23:4000/rtp/239.11.0.91:5140
广东卫视4K,http://171.213.134.23:4000/rtp/239.10.0.94:5140
江苏卫视4K,http://171.213.134.23:4000/rtp/239.11.0.88:5140
