四川联通-组播1,#genre#
四川卫视,http://112.192.72.15:8484/rtp/239.0.0.1:5140$1080p
四川经济,http://112.192.72.15:8484/rtp/239.0.0.2:5140$1080p
四川文化旅游,http://112.192.72.15:8484/rtp/239.0.0.3:5140$1080p
四川新闻,http://112.192.72.15:8484/rtp/239.0.0.4:5140$1080p
四川影视文艺,http://112.192.72.15:8484/rtp/239.0.0.5:5140$1080p
四川星空购物,http://112.192.72.15:8484/rtp/239.0.0.6:5140$1080p
四川妇女儿童,http://112.192.72.15:8484/rtp/239.0.0.7:5140$1080p
四川乡村,http://112.192.72.15:8484/rtp/239.0.0.8:5140$1080p
四川峨眉电影,http://112.192.72.15:8484/rtp/239.0.0.9:5140$1080p
四川科教,http://112.192.72.15:8484/rtp/239.0.0.186:5140$1080p
成都新闻综合,http://112.192.72.15:8484/rtp/239.0.0.144:5140$1080p
成都公共,http://112.192.72.15:8484/rtp/239.0.0.161:5140$1080p
成都少儿,http://112.192.72.15:8484/rtp/239.0.0.165:5140$1080p
成都影视文艺,http://112.192.72.15:8484/rtp/239.0.0.164:5140$1080p
成都每日购物,http://112.192.72.15:8484/rtp/239.0.0.160:5140$1080p
成都经济资讯,http://112.192.72.15:8484/rtp/239.0.0.162:5140$1080p
成都都市生活,http://112.192.72.15:8484/rtp/239.0.0.163:5140$1080p
乐山新闻综合,http://112.192.72.15:8484/rtp/239.0.0.129:5140$1080p
乐山文旅生活,http://112.192.72.15:8484/rtp/239.0.0.85:5140$1080p
内江综合,http://112.192.72.15:8484/rtp/239.0.0.128:5140$1080p
内江科教生活,http://112.192.72.15:8484/rtp/239.0.0.90:5140$1080p
凉山彝语综合,http://112.192.72.15:8484/rtp/239.0.0.137:5140$1080p
凉山新闻综合,http://112.192.72.15:8484/rtp/239.0.0.136:5140$1080p
南充综合,http://112.192.72.15:8484/rtp/239.0.0.176:5140$1080p
南充科教生活,http://112.192.72.15:8484/rtp/239.0.0.89:5140$1080p
宜宾新闻综合,http://112.192.72.15:8484/rtp/239.0.0.131:5140$1080p
宜宾科教文旅,http://112.192.72.15:8484/rtp/239.0.0.94:5140$1080p
巴中综合,http://112.192.72.15:8484/rtp/239.0.0.139:5140$1080p
巴中文旅生活,http://112.192.72.15:8484/rtp/239.0.0.80:5140$1080p
广元综合,http://112.192.72.15:8484/rtp/239.0.0.126:5140
广元文化生活,http://112.192.72.15:8484/rtp/239.0.0.84:5140
广安新闻综合,http://112.192.72.15:8484/rtp/239.0.0.132:5140$1080p
广安文旅乡村,http://112.192.72.15:8484/rtp/239.0.0.83:5140$1080p
德阳新闻综合,http://112.192.72.15:8484/rtp/239.0.0.82:5140$1080p
德阳文旅科教,http://112.192.72.15:8484/rtp/239.0.0.138:5140$1080p
攀枝花新闻综合,http://112.192.72.15:8484/rtp/239.0.0.124:5140$1080p
泸州新闻综合,http://112.192.72.15:8484/rtp/239.0.0.125:5140$1080p
泸州科教生活,http://112.192.72.15:8484/rtp/239.0.0.86:5140$1080p
甘孜综合,http://112.192.72.15:8484/rtp/239.0.0.135:5140$1080p
眉山综合,http://112.192.72.15:8484/rtp/239.0.0.130:5140$1080p
眉山文旅乡村,http://112.192.72.15:8484/rtp/239.0.0.87:5140$1080p
绵阳新闻综合,http://112.192.72.15:8484/rtp/239.0.0.121:5140$1080p
