宁夏电信-组播1,#genre#
CCTV-1 综合,http://111.113.150.63:9999/rtp/239.121.4.113:8636
CCTV-1 综合,http://111.113.150.63:9999/rtp/239.121.4.1:7980
CCTV-2 财经,http://111.113.150.63:9999/rtp/239.121.4.155:8914
CCTV-2 财经,http://111.113.150.63:9999/rtp/239.121.4.2:7986
CCTV-3 综艺,http://111.113.150.63:9999/rtp/239.121.4.151:8890
CCTV-4 中文国际,http://111.113.150.63:9999/rtp/239.121.4.4:7992
CCTV-4 欧洲,http://111.113.150.63:9999/rtp/239.121.4.123:8000
CCTV-4 美洲,http://111.113.150.63:9999/rtp/239.121.4.124:8002
CCTV-5 体育,http://111.113.150.63:9999/rtp/239.121.4.152:8896
CCTV-5+ 体育赛事,http://111.113.150.63:9999/rtp/239.121.4.140:8852
CCTV-6 电影,http://111.113.150.63:9999/rtp/239.121.4.153:8902
CCTV-7 国防军事,http://111.113.150.63:9999/rtp/239.121.4.156:8920
CCTV-7 国防军事,http://111.113.150.63:9999/rtp/239.121.4.7:7998
CCTV-8 电视剧,http://111.113.150.63:9999/rtp/239.121.4.154:8908
CCTV-9 纪录,http://111.113.150.63:9999/rtp/239.121.4.157:8926
CCTV-9 纪录,http://111.113.150.63:9999/rtp/239.121.4.9:8028
CCTV-10 科教,http://111.113.150.63:9999/rtp/239.121.4.10:8010
CCTV-10 科教,http://111.113.150.63:9999/rtp/239.121.4.158:8932
CCTV-11 戏曲,http://111.113.150.63:9999/rtp/239.121.4.11:8016
CCTV-12 社会与法,http://111.113.150.63:9999/rtp/239.121.4.12:8022
CCTV-12 社会与法,http://111.113.150.63:9999/rtp/239.121.4.159:8938
CCTV-13 新闻,http://111.113.150.63:9999/rtp/239.121.4.13:8028
CCTV-14 少儿,http://111.113.150.63:9999/rtp/239.121.4.15:8034
CCTV-14 少儿,http://111.113.150.63:9999/rtp/239.121.4.160:8944
CCTV-15 音乐,http://111.113.150.63:9999/rtp/239.121.4.16:8040
CCTV-15 音乐,http://111.113.150.63:9999/rtp/239.121.4.202:9208
CETV1,http://111.113.150.63:9999/rtp/239.121.4.59:8328
CETV2,http://111.113.150.63:9999/rtp/239.121.4.60:8334
CETV4,http://111.113.150.63:9999/rtp/239.121.4.199:9178
CGTN,http://111.113.150.63:9999/rtp/239.121.4.14:8004
IPTV3,http://111.113.150.63:9999/rtp/239.121.4.142:8846
