广东移动-组播1,#genre#
BRTV卡酷少儿,http://120.234.187.66:10086/rtp/239.20.0.162:2122
CCTV-1 综合,http://120.234.187.66:10086/rtp/239.20.0.104:2006
CCTV-1 综合,http://120.234.187.66:10086/rtp/239.20.0.96:3016
CCTV-2 财经,http://120.234.187.66:10086/rtp/239.20.0.197:2192
CCTV-3 综艺,http://120.234.187.66:10086/rtp/239.20.0.28:3292
CCTV-4 中文国际,http://120.234.187.66:10086/rtp/239.20.0.16:3340
CCTV-5 体育,http://120.234.187.66:10086/rtp/239.20.0.30:3284
CCTV-5+ 体育赛事,http://120.234.187.66:10086/rtp/239.20.0.203:2204
CCTV-6 电影,http://120.234.187.66:10086/rtp/239.20.0.29:3288
CCTV-7 国防军事,http://120.234.187.66:10086/rtp/239.20.0.198:2194
CCTV-8 电视剧,http://120.234.187.66:10086/rtp/239.20.0.31:3280
CCTV-9 纪录,http://120.234.187.66:10086/rtp/239.20.0.199:2196
CCTV-10 科教,http://120.234.187.66:10086/rtp/239.20.0.200:2198
CCTV-11 戏曲,http://120.234.187.66:10086/rtp/239.21.0.35:3480
CCTV-12 社会与法,http://120.234.187.66:10086/rtp/239.20.0.201:2200
CCTV-13 新闻,http://120.234.187.66:10086/rtp/239.21.0.88:3692
CCTV-14 少儿,http://120.234.187.66:10086/rtp/239.20.0.202:2202
CCTV-15 音乐,http://120.234.187.66:10086/rtp/239.21.0.36:3484
CCTV-17 农业农村,http://120.234.187.66:10086/rtp/239.20.0.7:3376
CCTV世界地理,http://120.234.187.66:10086/rtp/239.21.0.74:3636
CCTV兵器科技,http://120.234.187.66:10086/rtp/239.21.0.80:3660
CCTV央视台球,http://120.234.187.66:10086/rtp/239.21.0.71:3624
CCTV央视文化精品,http://120.234.187.66:10086/rtp/239.21.0.77:3648
CCTV女性时尚,http://120.234.187.66:10086/rtp/239.21.0.73:3632
CCTV怀旧剧场,http://120.234.187.66:10086/rtp/239.21.0.75:3640
CCTV电视指南,http://120.234.187.66:10086/rtp/239.21.0.81:3664
CCTV第一剧场,http://120.234.187.66:10086/rtp/239.21.0.78:3652
CCTV风云剧场,http://120.234.187.66:10086/rtp/239.21.0.76:3644
CCTV风云足球,http://120.234.187.66:10086/rtp/239.21.0.70:3620
CCTV风云音乐,http://120.234.187.66:10086/rtp/239.21.0.79:3656
CCTV高尔夫网球,http://120.234.187.66:10086/rtp/239.21.0.72:3628
CETV1,http://120.234.187.66:10086/rtp/239.20.0.213:2224
CETV2,http://120.234.187.66:10086/rtp/239.21.0.46:3524
CETV4,http://120.234.187.66:10086/rtp/239.21.0.47:3528
CGTN,http://120.234.187.66:10086/rtp/239.20.0.186:2170
IPTV3+综艺,http://120.234.187.66:10086/rtp/239.20.0.236:2270
IPTV5+体育,http://120.234.187.66:10086/rtp/239.20.0.208:2214
IPTV收视指南,http://120.234.187.66:10086/rtp/239.20.0.240:2278
IPTV法治,http://120.234.187.66:10086/rtp/239.20.0.231:2260
IPTV相声小品,http://120.234.187.66:10086/rtp/239.20.0.229:2256
IPTV野外,http://120.234.187.66:10086/rtp/239.20.0.230:2258
三沙卫视,http://120.234.187.66:10086/rtp/239.20.0.52:3192
东南卫视,http://120.234.187.66:10086/rtp/239.20.0.58:3168
东方卫视,http://120.234.187.66:10086/rtp/239.20.0.173:2144
云南卫视,http://120.234.187.66:10086/rtp/239.20.0.145:2088
兵团卫视,http://120.234.187.66:10086/rtp/239.20.0.160:2118
内蒙古卫视,http://120.234.187.66:10086/rtp/239.20.0.153:2104
北京卫视,http://120.234.187.66:10086/rtp/239.20.0.121:2040
北京卫视4K,http://120.234.187.66:10086/rtp/239.20.0.250:2298
北京卫视4K,http://120.234.187.66:10086/rtp/239.20.0.46:3220
IPTV少儿动画,http://120.234.187.66:10086/rtp/239.20.0.238:2274
IPTV热播剧场,http://120.234.187.66:10086/rtp/239.20.0.235:2268
IPTV电影,http://120.234.187.66:10086/rtp/239.20.0.232:2262
IPTV电视剧,http://120.234.187.66:10086/rtp/239.20.0.234:2266
IPTV经典电影,http://120.234.187.66:10086/rtp/239.20.0.233:2264
IPTV谍战剧场,http://120.234.187.66:10086/rtp/239.20.0.228:2254
IPTV魅力时尚,http://120.234.187.66:10086/rtp/239.20.0.239:2276
南方购物,http://120.234.187.66:10086/rtp/239.20.0.116:2030
厦门卫视,http://120.234.187.66:10086/rtp/239.20.0.168:2134
吉林卫视,http://120.234.187.66:10086/rtp/239.20.0.54:3184
哈哈炫动,http://120.234.187.66:10086/rtp/239.20.0.164:2126
嘉佳卡通,http://120.234.187.66:10086/rtp/239.21.0.94:3716
四川卫视,http://120.234.187.66:10086/rtp/239.20.0.194:2186
四川卫视,http://120.234.187.66:10086/rtp/239.20.0.82:3072
大湾区卫视,http://120.234.187.66:10086/rtp/239.21.0.84:3676
天津卫视,http://120.234.187.66:10086/rtp/239.20.0.171:2140
天津卫视,http://120.234.187.66:10086/rtp/239.20.0.89:3044
宁夏卫视,http://120.234.187.66:10086/rtp/239.20.0.156:2110
安徽卫视,http://120.234.187.66:10086/rtp/239.20.0.193:2184
山东卫视,http://120.234.187.66:10086/rtp/239.20.0.172:2142
