广西电信-组播1,#genre#
BRTV卡酷少儿,http://124.162.36.24:4022/udp/239.81.0.62:4056$576p
BRTV纪实科教,http://124.162.36.24:4022/udp/239.81.0.195:4056$1080p
CCTV-1 综合,http://124.162.36.24:4022/udp/239.81.0.102:4056$1080p
CCTV-1 综合,http://124.162.36.24:4022/udp/239.81.0.13:4056$576p
CCTV-2 财经,http://124.162.36.24:4022/udp/239.81.0.115:4056$1080p
CCTV-2 财经,http://124.162.36.24:4022/udp/239.81.0.14:4056$576p
CCTV-3 综艺,http://124.162.36.24:4022/udp/239.81.0.231:4056$1080p
CCTV-4 中文国际,http://124.162.36.24:4022/udp/239.81.0.16:4056$576p
CCTV-4 中文国际,http://124.162.36.24:4022/udp/239.81.0.96:4056$1080p
CCTV-5 体育,http://124.162.36.24:4022/udp/239.81.0.232:4056$1080p
CCTV-5+ 体育赛事,http://124.162.36.24:4022/udp/239.81.0.101:4056$1080p
CCTV-6 电影,http://124.162.36.24:4022/udp/239.81.0.233:4056
CCTV-7 国防军事,http://124.162.36.24:4022/udp/239.81.0.116:4056$1080p
CCTV-7 国防军事,http://124.162.36.24:4022/udp/239.81.0.19:4056$576p
CCTV-8 电视剧,http://124.162.36.24:4022/udp/239.81.0.234:4056$1080p
CCTV-9 纪录,http://124.162.36.24:4022/udp/239.81.0.117:4056$1080p
CCTV-9 纪录,http://124.162.36.24:4022/udp/239.81.0.21:4056$576p
CCTV-10 科教,http://124.162.36.24:4022/udp/239.81.0.118:4056$1080p
CCTV-10 科教,http://124.162.36.24:4022/udp/239.81.0.22:4056$576p
CCTV-11 戏曲,http://124.162.36.24:4022/udp/239.81.0.142:4056$1080p
CCTV-11 戏曲,http://124.162.36.24:4022/udp/239.81.0.229:4056$1080p
CCTV-11 戏曲,http://124.162.36.24:4022/udp/239.81.0.23:4056$576p
CCTV-12 社会与法,http://124.162.36.24:4022/udp/239.81.0.119:4056$1080p
CCTV-12 社会与法,http://124.162.36.24:4022/udp/239.81.0.24:4056$576p
CCTV-13 新闻,http://124.162.36.24:4022/udp/239.81.0.206:4056$1080p
CCTV-13 新闻,http://124.162.36.24:4022/udp/239.81.0.26:4056$576p
CCTV-14 少儿,http://124.162.36.24:4022/udp/239.81.0.120:4056$1080p
CCTV-14 少儿,http://124.162.36.24:4022/udp/239.81.0.25:4056$576p
CCTV-15 音乐,http://124.162.36.24:4022/udp/239.81.0.230:4056$1080p
CCTV-15 音乐,http://124.162.36.24:4022/udp/239.81.0.27:4056$576p
CCTV-16 奥林匹克,http://124.162.36.24:4022/udp/239.81.0.144:4056$2160p
CCTV-17 农业农村,http://124.162.36.24:4022/udp/239.81.0.227:4056
