黑龙江联通-组播1,#genre#
BRTV卡酷少儿,http://1.56.158.173:4022/rtp/229.58.190.186:5000$576p
BRTV纪实科教,http://1.56.158.173:4022/rtp/229.58.190.202:5000$1080p
CCTV-1 综合,http://1.56.158.173:4022/rtp/229.58.190.129:5000$576p
CCTV-1 综合,http://1.56.158.173:4022/rtp/229.58.190.13:5000$576p
CCTV-1 综合,http://1.56.158.173:4022/rtp/229.58.190.151:5000$1080p
CCTV-1 综合,http://1.56.158.173:4022/rtp/229.58.190.72:5000$1080p
CCTV-2 财经,http://1.56.158.173:4022/rtp/229.58.190.130:5000$576p
CCTV-2 财经,http://1.56.158.173:4022/rtp/229.58.190.153:5000$1080p
CCTV-3 综艺,http://1.56.158.173:4022/rtp/229.58.190.24:5000$576p
CCTV-3 综艺,http://1.56.158.173:4022/rtp/229.58.190.35:5000$1080p
CCTV-4 中文国际,http://1.56.158.173:4022/rtp/229.58.190.131:5000$576p
CCTV-5 体育,http://1.56.158.173:4022/rtp/229.58.190.32:5000$576p
CCTV-5 体育,http://1.56.158.173:4022/rtp/229.58.190.60:5000$1080p
CCTV-5+ 体育赛事,http://1.56.158.173:4022/rtp/229.58.190.154:5000$1080p
CCTV-6 电影,http://1.56.158.173:4022/rtp/229.58.190.48:5000$576p
CCTV-6 电影,http://1.56.158.173:4022/rtp/229.58.190.61:5000$1080p
CCTV-7 国防军事,http://1.56.158.173:4022/rtp/229.58.190.132:5000$1080p
CCTV-7 国防军事,http://1.56.158.173:4022/rtp/229.58.190.82:5000$576p
CCTV-8 电视剧,http://1.56.158.173:4022/rtp/229.58.190.50:5000$576p
CCTV-8 电视剧,http://1.56.158.173:4022/rtp/229.58.190.63:5000$1080p
CCTV-9 纪录,http://1.56.158.173:4022/rtp/229.58.190.156:5000$1080p
CCTV-9 纪录,http://1.56.158.173:4022/rtp/229.58.190.58:5000$576p
CCTV-10 科教,http://1.56.158.173:4022/rtp/229.58.190.133:5000$576p
CCTV-10 科教,http://1.56.158.173:4022/rtp/229.58.190.157:5000$1080p
CCTV-11 戏曲,http://1.56.158.173:4022/rtp/229.58.190.134:5000$576p
CCTV-12 社会与法,http://1.56.158.173:4022/rtp/229.58.190.135:5000$576p
CCTV-12 社会与法,http://1.56.158.173:4022/rtp/229.58.190.158:5000$1080p
CCTV-12 社会与法,http://1.56.158.173:4022/rtp/229.58.190.2:5000$1080p
CCTV-13 新闻,http://1.56.158.173:4022/rtp/229.58.190.136:5000$576p
CCTV-13 新闻,http://1.56.158.173:4022/rtp/229.58.190.199:5000$1080p
CCTV-14 少儿,http://1.56.158.173:4022/rtp/229.58.190.137:5000$576p
CCTV-14 少儿,http://1.56.158.173:4022/rtp/229.58.190.159:5000$1080p
CCTV-15 音乐,http://1.56.158.173:4022/rtp/229.58.190.127:5000$576p
CCTV-16 奥林匹克,http://1.56.158.173:4022/rtp/229.58.190.206:5000$2160p
CCTV-16 奥林匹克,http://1.56.158.173:4022/rtp/229.58.190.2:5000$1080p
CCTV-17 农业农村,http://1.56.158.173:4022/rtp/229.58.190.155:5000$576p
CCTV-17 农业农村,http://1.56.158.173:4022/rtp/229.58.190.211:5000$1080p
CCTV4K,http://1.56.158.173:4022/rtp/229.58.190.228:5000$2160p
CCTV世界地理,http://1.56.158.173:4022/rtp/229.58.190.187:5000$1080p
CCTV世界地理,http://1.56.158.173:4022/rtp/229.58.190.232:5000$576p
CCTV央视台球,http://1.56.158.173:4022/rtp/229.58.190.191:5000$1080p
CCTV央视台球,http://1.56.158.173:4022/rtp/229.58.190.234:5000$576p
CCTV女性时尚,http://1.56.158.173:4022/rtp/229.58.190.188:5000$1080p
CCTV女性时尚,http://1.56.158.173:4022/rtp/229.58.190.233:5000$576p
CCTV怀旧剧场,http://1.56.158.173:4022/rtp/229.58.190.174:5000$1080p
CCTV怀旧剧场,http://1.56.158.173:4022/rtp/229.58.190.197:5000$576p
CCTV第一剧场,http://1.56.158.173:4022/rtp/229.58.190.21:5000$1080p
CCTV第一剧场,http://1.56.158.173:4022/rtp/229.58.190.236:5000$576p
CCTV风云剧场,http://1.56.158.173:4022/rtp/229.58.190.237:5000$576p
CCTV风云剧场,http://1.56.158.173:4022/rtp/229.58.190.44:5000$1080p
CCTV风云足球,http://1.56.158.173:4022/rtp/229.58.190.182:5000$1080p
CCTV风云足球,http://1.56.158.173:4022/rtp/229.58.190.230:5000$576p
CCTV风云音乐,http://1.56.158.173:4022/rtp/229.58.190.190:5000$1080p
CCTV风云音乐,http://1.56.158.173:4022/rtp/229.58.190.231:5000$576p
CCTV高尔夫网球,http://1.56.158.173:4022/rtp/229.58.190.235:5000$576p
CCTV高尔夫网球,http://1.56.158.173:4022/rtp/229.58.190.9:5000$1080p
CETV1,http://1.56.158.173:4022/rtp/229.58.190.26:5000$576p
CETV1,http://1.56.158.173:4022/rtp/229.58.190.57:5000$1080p
CETV2,http://1.56.158.173:4022/rtp/229.58.190.59:5000$576p
CETV4,http://1.56.158.173:4022/rtp/229.58.190.66:5000$576p
CETV4,http://1.56.158.173:4022/rtp/229.58.190.83:5000$1080p
CETV早期教育,http://1.56.158.173:4022/rtp/229.58.190.175:5000$1080p
CETV早期教育,http://1.56.158.173:4022/rtp/229.58.190.229:5000$576p
CGTN西语,http://1.56.158.173:4022/rtp/229.58.190.18:5000$576p
CGTN俄语,http://1.56.158.173:4022/rtp/229.58.190.20:5000$576p
CGTN法语,http://1.56.158.173:4022/rtp/229.58.190.8:5000$576p
CGTN纪录,http://1.56.158.173:4022/rtp/229.58.190.23:5000$576p
CGTN阿语,http://1.56.158.173:4022/rtp/229.58.190.19:5000$576p
东方卫视4K,http://1.56.158.173:4022/rtp/229.58.190.222:5000$2160p
